Scientific name (BirdTree),Scientific name (Clements),wiki_species_1,wiki_species_2,wiki_species_3,wiki_species_4,wiki_species_5
Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,,,
Chlorostilbon auriceps,Cynanthus auriceps,,,,,
Chlorostilbon canivetii,Cynanthus canivetii,,,,,
Chlorostilbon forficatus,Cynanthus forficatus,,,,,
Cyornis caerulatus,Cyornis caerulatus,Cyornis caerulatus,Cyornis caerulatus,,,
Cyornis concretus,Cyornis concretus,,,,,
Cyornis hainanus,Cyornis hainanus,Cyornis hainanus,Cyornis hainanus,,,
Cyornis herioti,Cyornis herioti,,,,,
Cyornis lemprieri,Cyornis lemprieri,Cyornis lemprieri,Cyornis lemprieri,,,
Cyornis magnirostris,Cyornis magnirostris,,,,,
Rhinomyias olivaceus,Cyornis olivaceus,Cyornis olivaceus,Cyornis olivaceus,,,
Cyornis omissus,Cyornis omissus,,,,,
Cyornis pallipes,Cyornis pallidipes,,,,,
Cyornis poliogenys,Cyornis poliogenys,Cyornis poliogenys,Cyornis poliogenys,,,
Cyornis ruckii,Cyornis ruckii,,,,,
Rhinomyias ruficauda,Cyornis ruficauda,,,,,
Cyornis rufigastra,Cyornis rufigastra,Cyornis rufigastra,Cyornis rufigastra,,,
Cyornis superbus,Cyornis superbus,Cyornis superbus,Cyornis superbus,,,
Cyornis turcosus,Cyornis turcosus,Cyornis turcosus,Cyornis turcosus,,,
Rhinomyias umbratilis,Cyornis umbratilis,Cyornis umbratilis,Cyornis umbratilis,,,
Cyornis unicolor,Cyornis unicolor,Cyornis unicolor,Cyornis unicolor,,,
Cyphorhinus arada,Cyphorhinus arada,Cyphorhinus arada,Cyphorhinus arada,,,
Cyphorhinus phaeocephalus,Cyphorhinus phaeocephalus,Cyphorhinus phaeocephalus,Cyphorhinus phaeocephalus,,,
Cyphorhinus thoracicus,Cyphorhinus thoracicus,Cyphorhinus thoracicus,Cyphorhinus thoracicus,,,
Cypseloides cherriei,Cypseloides cherriei,,,,,
Cypseloides cryptus,Cypseloides cryptus,,,,,
Cypseloides fumigatus,Cypseloides fumigatus,,,,,
Cypseloides lemosi,Cypseloides lemosi,,,,,
Cypseloides niger,Cypseloides niger,,,,,
Cypseloides rothschildi,Cypseloides rothschildi,,,,,
Cypseloides senex,Cypseloides senex,,,,,
Cypseloides storeri,Cypseloides storeri,,,,,
Cypsiurus balasiensis,Cypsiurus balasiensis,,,,,
Cypsnagra hirundinacea,Cypsnagra hirundinacea,Cypsnagra hirundinacea,Tanagra hirundinacea,Cypsnagra hirundinacea,,
Cyrtonyx montezumae,Cyrtonyx montezumae,,,,,
Cyrtonyx ocellatus,Cyrtonyx ocellatus,,,,,
Dacelo gaudichaud,Dacelo gaudichaud,,,,,
Dacelo leachii,Dacelo leachii,,,,,
Dacelo novaeguineae,Dacelo novaeguineae,,,,,
Dacelo tyro,Dacelo tyro,,,,,
Dacnis albiventris,Dacnis albiventris,,,,,
Dacnis berlepschi,Dacnis berlepschi,,,,,
Dacnis cayana,Dacnis cayana,Dacnis cayana,Motacilla cayana,Dacnis cayana,,
Dacnis flaviventer,Dacnis flaviventer,,,,,
Dacnis hartlaubi,Dacnis hartlaubi,,,,,
Dacnis nigripes,Dacnis nigripes,,,,,
Dacnis venusta,Dacnis venusta,,,,,
Dacnis viguieri,Dacnis viguieri,,,,,
Dactylortyx thoracicus,Dactylortyx thoracicus,,,,,
Daphoenositta miranda,Daphoenositta miranda,,,,,
Daption capense,Daption capense,,,,,
Daptrius ater,Daptrius ater,,,,,
Stachyris plateni,Dasycrotapha plateni,,,,,
Stachyris pygmaea,Dasycrotapha pygmaea,,,,,
Dasycrotapha speciosa,Dasycrotapha speciosa,Dasycrotapha speciosa,Dasycrotapha speciosa,,,
Phaenicophaeus cumingi,Dasylophus cumingi,,,,,
Phaenicophaeus superciliosus,Dasylophus superciliosus,,,,,
Dasyornis brachypterus,Dasyornis brachypterus,,,,,
Dasyornis broadbenti,Dasyornis broadbenti,Dasyornis broadbenti,Dasyornis broadbenti,,,
Dasyornis longirostris,Dasyornis longirostris,Dasyornis longirostris,Dasyornis longirostris,,,
Deconychura longicauda,Deconychura longicauda,,,,,
Nesocharis capistrata,Delacourella capistrata,,,,,
Delichon dasypus,Delichon dasypus,,,,,
Delichon nipalense,Delichon nipalense,,,,,
Delichon urbicum,Delichon urbicum,Delichon urbicum,Delichon urbicum,,,
Dendragapus fuliginosus,Dendragapus fuliginosus,,,,,
Dendragapus obscurus,Dendragapus obscurus,,,,,
Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrexetastes rufigula,Dendrexetastes rufigula,,,
Dendrocincla anabatina,Dendrocincla anabatina,,,,,
Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa,,,
Dendrocincla homochroa,Dendrocincla homochroa,,,,,
Dendrocincla merula,Dendrocincla merula,,,,,
Dendrocincla turdina,Dendrocincla turdina,Dendrocincla turdina,Dendrocincla turdina,,,
Dendrocincla tyrannina,Dendrocincla tyrannina,Dendrocincla tyrannina,Dendrocincla tyrannina,,,
Dendrocitta bayleyi,Dendrocitta bayleii,,,,,
Dendrocitta formosae,Dendrocitta formosae,Dendrocitta formosae,Dendrocitta formosae,,,
Dendrocitta frontalis,Dendrocitta frontalis,,,,,
Dendrocitta leucogastra,Dendrocitta leucogastra,,,,,
Dendrocitta vagabunda,Dendrocitta vagabunda,Dendrocitta vagabunda,Dendrocitta vagabunda,,,
Dendrocolaptes certhia,Dendrocolaptes certhia,Dendrocolaptes certhia,Picus certhia,Dendrocolaptes certhia,,
Dendrocolaptes hoffmannsi,Dendrocolaptes hoffmannsi,Dendrocolaptes hoffmannsi,Dendrocolaptes hoffmannsi,,,
Dendrocolaptes picumnus,Dendrocolaptes picumnus,Dendrocolaptes picumnus,Dendrocolaptes picumnus,,,
Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,,,
Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,,,
Dendrocopos assimilis,Dendrocopos assimilis,,,,,
Dendrocopos atratus,Dendrocopos atratus,,,,,
Dendrocopos darjellensis,Dendrocopos darjellensis,,,,,
Dendrocopos himalayensis,Dendrocopos himalayensis,,,,,
Dendrocopos hyperythrus,Dendrocopos hyperythrus,,,,,
Dendrocopos leucopterus,Dendrocopos leucopterus,,,,,
Dendrocopos leucotos,Dendrocopos leucotos,,,,,
Dendrocopos major,Dendrocopos major,,,,,
Dendrocopos noguchii,Dendrocopos noguchii,,,,,
Dendrocopos syriacus,Dendrocopos syriacus,,,,,
Dendrocopos auriceps,Dendrocoptes auriceps,,,,,
Dendrocopos dorae,Dendrocoptes dorae,,,,,
Dendrocopos medius,Dendrocoptes medius,,,,,
Dendrocygna arborea,Dendrocygna arborea,,,,,
Dendrocygna arcuata,Dendrocygna arcuata,,,,,
Dendrocygna autumnalis,Dendrocygna autumnalis,,,,,
Dendrocygna bicolor,Dendrocygna bicolor,,,,,
Dendrocygna eytoni,Dendrocygna eytoni,,,,,
Dendrocygna guttata,Dendrocygna guttata,,,,,
Dendrocygna javanica,Dendrocygna javanica,,,,,
Dendrocygna viduata,Dendrocygna viduata,,,,,
Philydor erythropterum,Dendroma erythroptera,,,,,
Philydor rufum,Dendroma rufa,Philydor rufum,Dendroma rufa,,,
Dendronanthus indicus,Dendronanthus indicus,Dendronanthus indicus,Dendronanthus indicus,,,
Dendroplex kienerii,Dendroplex kienerii,Dendroplex kienerii,Dendroplex kienerii,,,
Dendroplex picus,Dendroplex picus,Dendroplex picus,Oriolus picus,Dendroplex picus,,
Dendrortyx barbatus,Dendrortyx barbatus,,,,,
Dendrortyx leucophrys,Dendrortyx leucophrys,,,,,
Dendrortyx macroura,Dendrortyx macroura,,,,,
Deroptyus accipitrinus,Deroptyus accipitrinus,,,,,
Dicaeum aeneum,Dicaeum aeneum,,,,,
Dicaeum annae,Dicaeum annae,,,,,
Dicaeum anthonyi,Dicaeum anthonyi,,,,,
Dicaeum aureolimbatum,Dicaeum aureolimbatum,,,,,
Dicaeum australe,Dicaeum australe,,,,,
Dicaeum bicolor,Dicaeum bicolor,,,,,
Dicaeum celebicum,Dicaeum celebicum,,,,,
Dicaeum chrysorrheum,Dicaeum chrysorrheum,,,,,
Dicaeum cruentatum,Dicaeum cruentatum,Dicaeum cruentatum,Dicaeum cruentatum,,,
Dicaeum erythrorhynchos,Dicaeum erythrorhynchos,Dicaeum erythrorhynchos,Dicaeum erythrorhynchos,,,
Dicaeum everetti,Dicaeum everetti,,,,,
Dicaeum eximium,Dicaeum eximium,,,,,
Dicaeum geelvinkianum,Dicaeum geelvinkianum,,,,,
Dicaeum haematostictum,Dicaeum haematostictum,,,,,
Dicaeum hirundinaceum,Dicaeum hirundinaceum,Dicaeum hirundinaceum,Dicaeum hirundinaceum,,,
Dicaeum hypoleucum,Dicaeum hypoleucum,,,,,
Dicaeum igniferum,Dicaeum igniferum,,,,,
Dicaeum ignipectus,Dicaeum ignipectus,Dicaeum ignipectus,Dicaeum ignipectus,,,
Dicaeum maugei,Dicaeum maugei,,,,,
Dicaeum melanoxanthum,Dicaeum melanozanthum,,,,,
Dicaeum monticolum,Dicaeum monticolum,,,,,
Dicaeum nehrkorni,Dicaeum nehrkorni,,,,,
Dicaeum nigrilore,Dicaeum nigrilore,,,,,
Dicaeum nitidum,Dicaeum nitidum,,,,,
Dicaeum pectorale,Dicaeum pectorale,,,,,
Dicaeum proprium,Dicaeum proprium,,,,,
Dicaeum pygmaeum,Dicaeum pygmaeum,,,,,
Dicaeum quadricolor,Dicaeum quadricolor,,,,,
Dicaeum retrocinctum,Dicaeum retrocinctum,,,,,
Dicaeum sanguinolentum,Dicaeum sanguinolentum,,,,,
Dicaeum trigonostigma,Dicaeum trigonostigma,Dicaeum trigonostigma,Dicaeum trigonostigma,,,
Dicaeum tristrami,Dicaeum tristrami,,,,,
Dicaeum trochileum,Dicaeum trochileum,,,,,
Dicaeum vincens,Dicaeum vincens,,,,,
Dicaeum vulneratum,Dicaeum vulneratum,,,,,
Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,,,
Dicrurus aeneus,Dicrurus aeneus,Dicrurus aeneus,Dicrurus aeneus,,,
Dicrurus aldabranus,Dicrurus aldabranus,,,,,
Dicrurus andamanensis,Dicrurus andamanensis,,,,,
Dicrurus annectans,Dicrurus annectens,,,,,
Dicrurus atripennis,Dicrurus atripennis,Dicrurus atripennis,Dicrurus atripennis,,,
Dicrurus balicassius,Dicrurus balicassius,,,,,
Dicrurus bracteatus,Dicrurus bracteatus,Dicrurus bracteatus,Dicrurus bracteatus,,,
Dicrurus caerulescens,Dicrurus caerulescens,Dicrurus caerulescens,Lanius caerulescens,Dicrurus caerulescens,,
Dicrurus densus,Dicrurus densus,,,,,
Dicrurus forficatus,Dicrurus forficatus,Dicrurus forficatus,Dicrurus forficatus,,,
Dicrurus fuscipennis,Dicrurus fuscipennis,,,,,
Dicrurus leucophaeus,Dicrurus leucophaeus,Dicrurus leucophaeus,Dicrurus leucophaeus,,,
Dicrurus macrocercus,Dicrurus macrocercus,Dicrurus macrocercus,Dicrurus macrocercus,,,
Dicrurus megarhynchus,Dicrurus megarhynchus,,,,,
Dicrurus montanus,Dicrurus montanus,,,,,
Dicrurus remifer,Dicrurus remifer,Dicrurus remifer,Dicrurus remifer,,,
Dicrurus sumatranus,Dicrurus sumatranus,,,,,
Dicrurus waldenii,Dicrurus waldenii,,,,,
Didunculus strigirostris,Didunculus strigirostris,,,,,
Diglossa albilatera,Diglossa albilatera,Diglossa albilatera,Diglossa albilatera,,,
Diglossa baritula,Diglossa baritula,Diglossa baritula,Diglossa baritula,,,
Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,Diglossa brunneiventris,,,
Diglossa caerulescens,Diglossa caerulescens,Diglossa caerulescens,Diglossa caerulescens,,,
Diglossa carbonaria,Diglossa carbonaria,,,,,
Diglossa cyanea,Diglossa cyanea,Diglossa cyanea,Diglossa cyanea,,,
Diglossa duidae,Diglossa duidae,,,,,
Diglossa glauca,Diglossa glauca,Diglossa glauca,Diglossa glauca,,,
Diglossa gloriosa,Diglossa gloriosa,,,,,
Diglossa gloriosissima,Diglossa gloriosissima,Diglossa gloriosissima,Diglossa gloriosissima,,,
Diglossa humeralis,Diglossa humeralis,Diglossa humeralis,Diglossa humeralis,,,
Diglossa indigotica,Diglossa indigotica,Diglossa indigotica,Diglossa indigotica,,,
Diglossa lafresnayii,Diglossa lafresnayii,Diglossa lafresnayii,Diglossa lafresnayii,,,
Diglossa major,Diglossa major,,,,,
Diglossa mystacalis,Diglossa mystacalis,Diglossa mystacalis,Diglossa mystacalis,,,
Diglossa plumbea,Diglossa plumbea,Diglossa plumbea,Diglossa plumbea,,,
Diglossa sittoides,Diglossa sittoides,Diglossa sittoides,Diglossa sittoides,,,
Diglossa venezuelensis,Diglossa venezuelensis,,,,,
Dinemellia dinemelli,Dinemellia dinemelli,Dinemellia dinemelli,Dinemellia dinemelli,,,
Dinopium rafflesii,Dinopium rafflesii,,,,,
Dinopium shorii,Dinopium shorii,,,,,
Diopsittaca nobilis,Diopsittaca nobilis,,,,,
Discosura conversii,Discosura conversii,,,,,
Discosura langsdorffi,Discosura langsdorffi,,,,,
Discosura letitiae,Discosura letitiae,,,,,
Discosura longicaudus,Discosura longicaudus,,,,,
Discosura popelairii,Discosura popelairii,,,,,
Diuca diuca,Diuca diuca,,,,,
Dives dives,Dives dives,Dives dives,Dives dives,,,
Dives warszewiczi,Dives warczewiczi,Dives warczewiczi,Dives warczewiczi,,,
Dolichonyx oryzivorus,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Dolichonyx oryzivorus,,,
Doliornis remseni,Doliornis remseni,,,,,
Doliornis sclateri,Doliornis sclateri,,,,,
Donacobius atricapilla,Donacobius atricapilla,Donacobius atricapilla,Donacobius atricapilla,,,
Donacospiza albifrons,Donacospiza albifrons,Donacospiza albifrons,Donacospiza albifrons,,,
Doricha eliza,Doricha eliza,,,,,
Doricha enicura,Doricha enicura,,,,,
Doryfera johannae,Doryfera johannae,,,,,
Doryfera ludovicae,Doryfera ludovicae,,,,,
Vestiaria coccinea,Drepanis coccinea,,,,,
Drepanoptila holosericea,Drepanoptila holosericea,,,,,
Nectarinia reichenowi,Drepanorhynchus reichenowi,,,,,
Epimachus albertisi,Drepanornis albertisi,,,,,
Epimachus bruijnii,Drepanornis bruijnii,,,,,
Nectarinia thomensis,Dreptes thomensis,,,,,
Dromaius novaehollandiae,Dromaius novaehollandiae,,,,,
Dromas ardeola,Dromas ardeola,,,,,
Dromococcyx pavoninus,Dromococcyx pavoninus,,,,,
Dromococcyx phasianellus,Dromococcyx phasianellus,,,,,
Drymocichla incana,Drymocichla incana,,,,,
Drymodes brunneopygia,Drymodes brunneopygia,Drymodes brunneopygia,Drymodes brunneopygia,,,
Drymophila devillei,Drymophila devillei,Drymophila devillei,Drymophila devillei,,,
Drymophila ferruginea,Drymophila ferruginea,Drymophila ferruginea,Drymophila ferruginea,,,
Drymophila genei,Drymophila genei,Drymophila genei,Drymophila genei,,,
Drymophila malura,Drymophila malura,Drymophila malura,Drymophila malura,,,
Drymophila ochropyga,Drymophila ochropyga,Drymophila ochropyga,Drymophila ochropyga,,,
Drymophila rubricollis,Drymophila rubricollis,Drymophila rubricollis,Drymophila rubricollis,,,
Drymophila squamata,Drymophila squamata,Drymophila squamata,Drymophila squamata,,,
Drymornis bridgesii,Drymornis bridgesii,Drymornis bridgesii,Drymornis bridgesii,,,
Campylorhamphus pucherani,Drymotoxeres pucheranii,,,,,
Veniliornis affinis,Dryobates affinis,,,,,
Picoides albolarvatus,Dryobates albolarvatus,,,,,
Picoides arizonae,Dryobates arizonae,,,,,
Picoides borealis,Dryobates borealis,,,,,
Veniliornis callonotus,Dryobates callonotus,,,,,
Veniliornis cassini,Dryobates cassini,,,,,
Dendrocopos cathpharius,Dryobates cathpharius,,,,,
Veniliornis chocoensis,Dryobates chocoensis,,,,,
Veniliornis dignus,Dryobates dignus,,,,,
Veniliornis frontalis,Dryobates frontalis,,,,,
Picoides fumigatus,Dryobates fumigatus,,,,,
Veniliornis kirkii,Dryobates kirkii,,,,,
Veniliornis lignarius,Dryobates lignarius,,,,,
Veniliornis maculifrons,Dryobates maculifrons,,,,,
Dendrocopos minor,Dryobates minor,,,,,
Veniliornis mixtus,Dryobates mixtus,,,,,
Veniliornis nigriceps,Dryobates nigriceps,,,,,
Picoides nuttallii,Dryobates nuttallii,,,,,
Veniliornis passerinus,Dryobates passerinus,,,,,
Picoides pubescens,Dryobates pubescens,,,,,
Veniliornis sanguineus,Dryobates sanguineus,,,,,
Picoides scalaris,Dryobates scalaris,,,,,
Veniliornis spilogaster,Dryobates spilogaster,,,,,
Picoides stricklandi,Dryobates stricklandi,,,,,
Picoides villosus,Dryobates villosus,,,,,
Dryocopus hodgei,Dryocopus hodgei,,,,,
Dryocopus javensis,Dryocopus javensis,,,,,
Dryocopus lineatus,Dryocopus lineatus,,,,,
Dryocopus martius,Dryocopus martius,,,,,
Dryocopus pileatus,Dryocopus pileatus,,,,,
Dryocopus schulzi,Dryocopus schulzii,,,,,
Dryolimnas cuvieri,Dryolimnas cuvieri,,,,,
Dryoscopus angolensis,Dryoscopus angolensis,,,,,
Dryoscopus cubla,Dryoscopus cubla,Dryoscopus cubla,Dryoscopus cubla,,,
Dryoscopus gambensis,Dryoscopus gambensis,,,,,
Dryoscopus pringlii,Dryoscopus pringlii,,,,,
Dryoscopus sabini,Dryoscopus sabini,,,,,
Dryoscopus senegalensis,Dryoscopus senegalensis,,,,,
Dryotriorchis spectabilis,Dryotriorchis spectabilis,,,,,
Delothraupis castaneoventris,Dubusia castaneoventris,,,,,
Dubusia taeniata,Dubusia taeniata,,,,,
Ducula aurorae,Ducula aurorae,,,,,
Ducula badia,Ducula badia,,,,,
Ducula bakeri,Ducula bakeri,,,,,
Ducula basilica,Ducula basilica,,,,,
Ducula bicolor,Ducula bicolor,,,,,
Ducula brenchleyi,Ducula brenchleyi,,,,,
Ducula carola,Ducula carola,,,,,
Ducula chalconota,Ducula chalconota,,,,,
Ducula cineracea,Ducula cineracea,,,,,
Ducula concinna,Ducula concinna,,,,,
Ducula finschii,Ducula finschii,,,,,
Ducula forsteni,Ducula forsteni,,,,,
Ducula galeata,Ducula galeata,,,,,
Ducula goliath,Ducula goliath,,,,,
Ducula lacernulata,Ducula lacernulata,,,,,
Ducula latrans,Ducula latrans,,,,,
Ducula luctuosa,Ducula luctuosa,,,,,
Ducula melanochroa,Ducula melanochroa,,,,,
Ducula mindorensis,Ducula mindorensis,,,,,
Ducula mullerii,Ducula mullerii,,,,,
Ducula myristicivora,Ducula myristicivora,,,,,
Ducula oceanica,Ducula oceanica,,,,,
Ducula pacifica,Ducula pacifica,,,,,
Ducula pickeringii,Ducula pickeringii,,,,,
Ducula pinon,Ducula pinon,,,,,
Ducula pistrinaria,Ducula pistrinaria,,,,,
Ducula poliocephala,Ducula poliocephala,,,,,
Ducula radiata,Ducula radiata,,,,,
Ducula rosacea,Ducula rosacea,,,,,
Ducula rubricera,Ducula rubricera,,,,,
Ducula rufigaster,Ducula rufigaster,,,,,
Ducula spilorrhoa,Ducula spilorrhoa,,,,,
Ducula subflavescens,Ducula subflavescens,,,,,
Ducula whartoni,Ducula whartoni,,,,,
Ducula zoeae,Ducula zoeae,,,,,
Dulus dominicus,Dulus dominicus,,,,,
Dumetella carolinensis,Dumetella carolinensis,Dumetella carolinensis,Muscicapa carolinensis,Dumetella carolinensis,,
Rhopocichla atriceps,Dumetia atriceps,,,,,
Dumetia hyperythra,Dumetia hyperythra,Dumetia hyperythra,Dumetia hyperythra,,,
Dysithamnus leucostictus,Dysithamnus leucostictus,Dysithamnus leucostictus,Dysithamnus leucostictus,,,
Dysithamnus mentalis,Dysithamnus mentalis,Dysithamnus mentalis,Dysithamnus mentalis,,,
Dysithamnus occidentalis,Dysithamnus occidentalis,Dysithamnus occidentalis,Dysithamnus occidentalis,,,
Dysithamnus plumbeus,Dysithamnus plumbeus,Dysithamnus plumbeus,Dysithamnus plumbeus,,,
Dysithamnus puncticeps,Dysithamnus puncticeps,Dysithamnus puncticeps,Dysithamnus puncticeps,,,
Dysithamnus stictothorax,Dysithamnus stictothorax,Dysithamnus stictothorax,Dysithamnus stictothorax,,,
Dysithamnus striaticeps,Dysithamnus striaticeps,,,,,
Dysithamnus xanthopterus,Dysithamnus xanthopterus,Dysithamnus xanthopterus,Dysithamnus xanthopterus,,,
Eclectus roratus,Eclectus roratus,,,,,
Coracina ceramensis,Edolisoma ceramense,,,,,
Coracina dispar,Edolisoma dispar,,,,,
Coracina dohertyi,Edolisoma dohertyi,,,,,
Coracina holopolia,Edolisoma holopolium,,,,,
Coracina incerta,Edolisoma incertum,,,,,
Coracina melas,Edolisoma melas,Edolisoma melas,Coracina melas,Lanius melas,Edolisoma melas,
Coracina mindanensis,Edolisoma mindanense,,,,,
Coracina montana,Edolisoma montanum,Edolisoma montanum,Coracina montana,Campephaga montana,Edolisoma montanum,
Coracina morio,Edolisoma morio,,,,,
Coracina schisticeps,Edolisoma schisticeps,,,,,
Coracina sula,Edolisoma sula,,,,,
Egretta ardesiaca,Egretta ardesiaca,,,,,
Egretta caerulea,Egretta caerulea,,,,,
Egretta eulophotes,Egretta eulophotes,,,,,
Egretta garzetta,Egretta garzetta,,,,,
Egretta gularis,Egretta gularis,,,,,
Egretta novaehollandiae,Egretta novaehollandiae,,,,,
Ardea picata,Egretta picata,,,,,
Egretta rufescens,Egretta rufescens,,,,,
Egretta sacra,Egretta sacra,,,,,
Egretta thula,Egretta thula,,,,,
Egretta tricolor,Egretta tricolor,,,,,
Egretta vinaceigula,Egretta vinaceigula,,,,,
Spelaeornis formosus,Elachura formosa,Elachura formosa,Elachura formosa,,,
Elaenia albiceps,Elaenia albiceps,Elaenia albiceps,Elaenia albiceps,,,
Elaenia cristata,Elaenia cristata,Elaenia cristata,Elaenia cristata,,,
Elaenia dayi,Elaenia dayi,,,,,
Elaenia fallax,Elaenia fallax,,,,,
Elaenia flavogaster,Elaenia flavogaster,Elaenia flavogaster,Pipra flavogaster,Elaenia flavogaster,,
Elaenia frantzii,Elaenia frantzii,Elaenia frantzii,Elaenia frantzii,,,
Elaenia gigas,Elaenia gigas,Elaenia gigas,Elaenia gigas,,,
Elaenia martinica,Elaenia martinica,,,,,
Elaenia mesoleuca,Elaenia mesoleuca,Elaenia mesoleuca,Elaenia mesoleuca,,,
Elaenia parvirostris,Elaenia parvirostris,Elaenia parvirostris,Elaenia parvirostris,,,
Elaenia pelzelni,Elaenia pelzelni,,,,,
Elaenia ridleyana,Elaenia ridleyana,,,,,
Elaenia ruficeps,Elaenia ruficeps,Elaenia ruficeps,Elaenia ruficeps,,,
Elaenia spectabilis,Elaenia spectabilis,Elaenia spectabilis,Elaenia spectabilis,,,
Elaenia strepera,Elaenia strepera,,,,,
Elanoides forficatus,Elanoides forficatus,,,,,
Elanus axillaris,Elanus axillaris,,,,,
Elanus caeruleus,Elanus caeruleus,,,,,
Elanus leucurus,Elanus leucurus,,,,,
Elanus scriptus,Elanus scriptus,,,,,
Bradypterus palliseri,Elaphrornis palliseri,,,,,
Electron carinatum,Electron carinatum,,,,,
Electron platyrhynchum,Electron platyrhynchum,,,,,
Eleoscytalopus indigoticus,Eleoscytalopus indigoticus,Eleoscytalopus indigoticus,Eleoscytalopus indigoticus,,,
Eleoscytalopus psychopompus,Eleoscytalopus psychopompus,,,,,
Eleothreptus anomalus,Eleothreptus anomalus,,,,,
Eleothreptus candicans,Eleothreptus candicans,,,,,
Amazilia chionogaster,Elliotomyia chionogaster,,,,,
Amazilia viridicauda,Elliotomyia viridicauda,,,,,
Elminia albicauda,Elminia albicauda,,,,,
Elminia albiventris,Elminia albiventris,,,,,
Elminia albonotata,Elminia albonotata,Elminia albonotata,Trochocercus albonotatus,Elminia albonotata,,
Elminia longicauda,Elminia longicauda,,,,,
Elminia nigromitrata,Elminia nigromitrata,,,,,
Elseyornis melanops,Elseyornis melanops,,,,,
